title,description,text,date,language,title_compound,title_pos,title_neu,title_neg,title_sent,text_compound,text_pos,text_neu,text_neg,text_sent
Ex-Party Producer Charged in $2.7 Million Bitcoin-Laundering Scheme,"Thomas Spieker’s clients included dark-web drug dealers and a cellphone-hacking identity thief, prosecutors said.","Mr. Spiekers most prominent customer, whom he described as his whale client, was the Eastern European organized crime member, prosecutors said. Mr. Spieker laundered $620,000 for the client, they sai… [+2755 chars]",2022-03-24,en,-0.2023,0.0,0.795,0.205,-1,-0.228,0.072,0.831,0.097,-1
"Everyone Has Crypto FOMO, but Does It Belong in Your Portfolio?",A growing array of investment options make it easier to put digital tokens alongside traditional investments. Here’s what to know.,"Other fund vehicles hold crypto directly, but theyre grappling with different structural problems and carry higher fees, which are a drag on returns.
Grayscale Bitcoin Trust, the largest Bitcoin veh… [+2273 chars]",2022-03-24,en,0.0,0.0,1.0,0.0,0,-0.1154,0.116,0.73,0.154,-1
"If you’re a Russian YouTuber, how do you get paid now?",Russian creators are shut off from the global financial system. Some of them are turning to cryptocurrency.,"When Russia invaded Ukraine, Niki Proshin was already a year into making a living as a vlogger — he had a YouTube channel, a TikTok channel, and an Instagram. He also ran an online Russian club for a… [+5883 chars]",2022-03-17,en,0.0,0.0,1.0,0.0,0,0.0,0.0,1.0,0.0,0
El Salvador turns to Binance for help on bitcoin adoption - Reuters.com,"El Salvador is seeking support from cryptocurrency exchange Binance for its implementation of bitcoin as legal tender and the issuance of bitcoin bonds, the Central American country's ambassador to the United States said on Wednesday.","SAN SALVADOR, March 23 (Reuters) - El Salvador is seeking support from cryptocurrency exchange Binance for its implementation of bitcoin as legal tender and the issuance of bitcoin bonds, the Central… [+1109 chars]",2022-03-23,en,0.4019,0.213,0.787,0.0,1,0.4939,0.123,0.877,0.0,1
Why Isn't Bitcoin Booming?,"""Bitcoin was seen by many of its libertarian-leaning fans as a kind of doomsday insurance,"" argues a columnist in the New York Times, ""a form of 'digital gold' that would be a source of stability as the world grew more chaotic and unpredictable.... 

""But Bit…","""Bitcoin was seen by many of its libertarian-leaning fans as a kind of doomsday insurance,"" argues a columnist in the New York Times, ""a form of 'digital gold' that would be a source of stability as … [+3914 chars]",2022-03-12,en,0.0,0.0,1.0,0.0,0,-0.7713,0.0,0.831,0.169,-1
Bitcoin rises 4.4 percent to $46499 - Reuters,"Bitcoin surged 4.41% to $46,499.29 at 22:07 GMT on Sunday, adding $1,963.64 to its previous close.","March 27 (Reuters) - Bitcoin surged 4.41% to $46,499.29 at 22:07 GMT on Sunday, adding $1,963.64 to its previous close.
Bitcoin, the world's biggest and best-known cryptocurrency, is up 41.1% from t… [+353 chars]",2022-03-27,en,0.0,0.0,1.0,0.0,0,0.0,0.0,1.0,0.0,0
Cryptoverse: Remember when bitcoin was 'anonymous'? - Reuters,Bitcoin just isn't anonymous enough for a growing cohort of crypto users who are seeking greater seclusion.,"March 22 (Reuters) - Bitcoin just isn't anonymous enough for a growing cohort of crypto users who are seeking greater seclusion.
A volatile class of crypto known as privacy coins, created with the p… [+4776 chars]",2022-03-22,en,0.0,0.0,1.0,0.0,0,0.6369,0.171,0.829,0.0,1
Cryptoverse: Bitcoin gains conflict currency credentials - Reuters,"Bitcoin has leapt since Russia's invasion of Ukraine, bolstered by people in those countries looking to store and move money in anonymous and decentralised crypto.","March 1 (Reuters) - Bitcoin has leapt since Russia's invasion of Ukraine, bolstered by people in those countries looking to store and move money in anonymous and decentralised crypto.
Bitcoin tradin… [+3955 chars]",2022-03-01,en,0.0258,0.247,0.515,0.237,0,0.0,0.0,1.0,0.0,0
War Is Calling Crypto’s ‘Neutrality’ Into Question,War in Ukraine and Western sanctions against Russia have made cryptocurrency a hot potato for international politics.,"Whose side is cryptocurrency on? If you had asked Satoshi Nakamoto, the pseudonymous person (or persons) who created the Bitcoin platform in 2008, he/they likely would have rejected the question. The… [+3643 chars]",2022-03-08,en,-0.5994,0.0,0.606,0.394,-1,-0.3182,0.055,0.854,0.091,-1
Cryptocurrency Donations Pour Into Ukraine. This Week in Bitcoin and Crypto News - CNET,"Nonfungible Tidbits: All the bitcoin, cryptocurrency and NFT news for the week ending March 6.","Getty
Welcome to Nonfungible Tidbits. Our focus this week: Russia's war in Ukraine. 
In addition to uprooting the lives of Ukrainians and throwing the international order into chaos, the Russian in… [+3275 chars]",2022-03-05,en,0.0,0.0,1.0,0.0,0,-0.6808,0.074,0.739,0.187,-1
Is the US Developing a Digital Dollar? This Week's Top Bitcoin & Crypto News - CNET,"Nonfungible Tidbits: All the bitcoin, cryptocurrency and NFT news for the week ending March 18.","Here's what happened this week in the crypto world.
Getty
Welcome to Nonfungible Tidbits, a weekly roundup of news in crypto, NFTs and their related realms.
Our lead story this week is the possibi… [+2860 chars]",2022-03-19,en,0.2023,0.13,0.87,0.0,1,0.4588,0.081,0.919,0.0,1
Bitcoin and Ether Are Helping Fund Ukraine's Resistance - CNET,Nearly $20 million has been raised in cryptocurrencies like bitcoin and ether since Russian forces invaded Ukraine last week.,"Nurphoto/Getty
As Russia launched an invasion into his home country last Thursday, Ukranian photographer Vitaliy Raskalov found himself a world away in Mexico City. When I spoke with him over Telegr… [+7815 chars]",2022-02-28,en,0.296,0.216,0.784,0.0,1,0.128,0.048,0.952,0.0,1
Cryptocurrencies in a time of war - Reuters.com,"Cryptocurrencies have been close to the headlines since Russia invaded Ukraine, with the ever-volatile bitcoin in demand in Russia and beyond.","LONDON, March 4 (Reuters) - Cryptocurrencies have been close to the headlines since Russia invaded Ukraine, with the ever-volatile bitcoin in demand in Russia and beyond.
Here are some charts that l… [+3634 chars]",2022-03-04,en,-0.5994,0.0,0.562,0.438,-1,-0.128,0.0,0.954,0.046,-1
"El Salvador postpones bitcoin bond issue, expects better conditions - Reuters.com","El Salvador postponed an unprecedented issue of a bitcoin-backed bond planned for last week, as the government decided to wait for favorable conditions in the financial market, Finance Minister Alejandro Zelaya said on Tuesday.","SAN SALVADOR, March 22 (Reuters) - El Salvador postponed an unprecedented issue of a bitcoin-backed bond planned for last week, as the government decided to wait for favorable conditions in the finan… [+1425 chars]",2022-03-22,en,0.2023,0.223,0.615,0.162,1,0.3182,0.089,0.86,0.052,1
"Cryptoverse: Bitcoin's scared of commitment, Mr Biden - Reuters.com","Bitcoin loves flirting with the mainstream. But now, as the U.S. president says he wants to get serious, it may be getting cold crypto feet.","March 15 (Reuters) - Bitcoin loves flirting with the mainstream. But now, as the U.S. president says he wants to get serious, it may be getting cold crypto feet.
When Joe Biden ordered officials to … [+4501 chars]",2022-03-15,en,-0.0772,0.226,0.522,0.252,-1,0.3182,0.098,0.864,0.038,1
U.S. company devises method to use coal waste to power crypto - Reuters,The vast amounts of electricity needed to mine bitcoin has ignited a debate about whether the energy behind the operation is worth the potential environmental costs.,"KENNERDELL, Pa., March 21 (Reuters) - The vast amounts of electricity needed to mine bitcoin has ignited a debate about whether the energy behind the operation is worth the potential environmental co… [+1781 chars]",2022-03-21,en,-0.4215,0.0,0.797,0.203,-1,0.4588,0.118,0.882,0.0,1
Bitcoin climbs to highest in almost three weeks - Reuters.com,"Bitcoin climbed on Tuesday to its highest in almost three weeks, adding to its gains since Russia's invasion of Ukraine, pulling up smaller digital coins such as ether.","LONDON, March 22 (Reuters) - Bitcoin climbed on Tuesday to its highest in almost three weeks, adding to its gains since Russia's invasion of Ukraine, pulling up smaller digital coins such as ether.
… [+865 chars]",2022-03-22,en,0.0,0.0,1.0,0.0,0,0.34,0.068,0.932,0.0,1
"El Salvador postpones bitcoin bond issue, expects better conditions - Reuters.com","El Salvador postponed an unprecedented issue of a bitcoin-backed bond planned for last week, as the government decided to wait for favorable conditions in the financial market, Finance Minister Alejandro Zelaya said on Tuesday.","SAN SALVADOR, March 22 (Reuters) - El Salvador postponed an unprecedented issue of a bitcoin-backed bond planned for last week, as the government decided to wait for favorable conditions in the finan… [+1235 chars]",2022-03-22,en,0.2023,0.223,0.615,0.162,1,0.3182,0.089,0.86,0.052,1
Verdict against self-proclaimed Bitcoin inventor balloons to $143 mln - Reuters.com,"Self-proclaimed Bitcoin creator Craig Wright must pay another $43 million to a joint venture he co-created, adding to a $100 million verdict against him last year, a federal judge in West Palm Beach, Florida, ruled Wednesday.","<ul><li>
Summary</li><li>
Law firms</li><li>
Related documents</li></ul>
The company and law firm names shown above are generated automatically based on the text of the article. We are improving … [+2414 chars]",2022-03-10,en,0.1531,0.151,0.849,0.0,1,0.4215,0.091,0.909,0.0,1
"Ukraine asking for bitcoin donations is bullish for the cryptocurrency, veteran strategist Tom Lee says","""Still think bitcoin is not useful?"" Fundstrat's Tom Lee wrote in a note to clients, after Ukraine asked for donations.","The Ukrainian government asking for donations in bitcoin shows the utility of the cryptocurrency and is a positive sign for the market, veteran strategist Tom Lee has said.
Ukraine government accoun… [+1750 chars]",2022-03-01,en,0.0,0.0,1.0,0.0,0,0.5574,0.104,0.896,0.0,1
